pm_10,Date,pm_25
57.44444444444445,2008-01-01,49.0
28.601388888888888,2008-01-02,23.641666666666666
31.055555555555557,2008-01-03,25.383333333333336
27.34027777777777,2008-01-04,21.475
10.45,2008-01-05,5.008333333333334
19.9625,2008-01-06,10.652083333333334
19.194444444444446,2008-01-07,6.5
22.55555555555556,2008-01-08,10.825
16.11111111111111,2008-01-09,7.649999999999999
18.125,2008-01-10,9.125
11.666666666666666,2008-01-11,6.916666666666667
13.6875,2008-01-12,6.825
12.22222222222222,2008-01-13,5.7250000000000005
14.868055555555555,2008-01-14,7.774999999999999
11.881944444444445,2008-01-15,4.958333333333333
19.180555555555557,2008-01-16,9.808333333333334
22.17361111111111,2008-01-17,12.325
23.55555555555556,2008-01-18,9.625
9.715277777777777,2008-01-19,4.4750000000000005
9.659722222222223,2008-01-20,4.197916666666667
16.583333333333332,2008-01-21,8.633333333333333
28.67361111111111,2008-01-22,12.941666666666668
31.92361111111111,2008-01-23,15.766666666666666
48.02777777777778,2008-01-24,21.85833333333333
27.45833333333333,2008-01-25,15.116666666666667
28.26388888888889,2008-01-26,16.625
31.472222222222225,2008-01-27,19.90833333333333
47.15416666666667,2008-01-28,30.616666666666664
53.145833333333336,2008-01-29,36.583333333333336
37.395833333333336,2008-01-30,28.008333333333336
20.993055555555557,2008-01-31,11.416666666666666
20.194444444444446,2008-02-01,7.6
17.916666666666668,2008-02-02,7.483333333333333
16.555555555555554,2008-02-03,9.075
13.3125,2008-02-04,7.333333333333333
10.736111111111112,2008-02-05,5.8500000000000005
18.447916666666668,2008-02-06,8.740277777777779
36.775,2008-02-07,22.3375
41.72916666666666,2008-02-08,20.266666666666666
36.65972222222222,2008-02-09,22.775
40.61111111111111,2008-02-10,31.45
48.98611111111112,2008-02-11,29.15
53.75555555555555,2008-02-12,33.96666666666667
67.04861111111111,2008-02-13,53.23333333333333
57.50833333333333,2008-02-14,44.90833333333333
37.5,2008-02-15,26.166666666666668
25.92361111111111,2008-02-16,16.916666666666668
46.44444444444445,2008-02-17,35.21666666666667
90.2361111111111,2008-02-18,60.48333333333333
118.8263888888889,2008-02-19,95.3
87.77777777777777,2008-02-20,69.10833333333333
67.92361111111111,2008-02-21,56.2
18.70694444444445,2008-02-22,9.4
25.381944444444443,2008-02-23,16.685416666666665
29.27777777777777,2008-02-24,23.525
32.83888888888889,2008-02-25,21.558333333333334
24.440277777777776,2008-02-26,15.0
32.24444444444445,2008-02-27,14.983333333333334
39.125,2008-02-28,21.56875
40.53888888888888,2008-02-29,30.31875
17.506944444444446,2008-03-01,7.008333333333333
18.38888888888889,2008-03-02,8.174999999999999
20.11111111111111,2008-03-03,8.291666666666666
16.75,2008-03-04,8.583333333333334
23.972222222222225,2008-03-05,11.075
34.92638888888889,2008-03-06,19.916666666666668
34.291666666666664,2008-03-07,22.2
27.479166666666668,2008-03-08,14.441666666666668
11.59027777777778,2008-03-09,7.6
10.569444444444445,2008-03-10,5.208333333333333
17.256944444444446,2008-03-11,8.416666666666666
23.01388888888889,2008-03-12,8.766666666666667
23.4375,2008-03-13,10.275
22.559722222222224,2008-03-14,14.116666666666667
26.541666666666668,2008-03-15,19.425
12.625,2008-03-16,9.141666666666667
19.40972222222222,2008-03-17,8.066666666666666
17.47361111111111,2008-03-18,7.975
13.677083333333334,2008-03-19,5.583333333333333
19.444444444444446,2008-03-20,12.15
12.729166666666666,2008-03-21,6.716666666666666
10.03472222222222,2008-03-22,6.908333333333334
16.625,2008-03-23,9.916666666666666
12.833333333333334,2008-03-24,10.416666666666666
13.698611111111113,2008-03-25,6.9625
28.959722222222226,2008-03-26,20.616666666666667
31.058333333333334,2008-03-27,26.116666666666664
27.96527777777777,2008-03-28,18.85
19.77083333333333,2008-03-29,8.275
14.638888888888888,2008-03-30,9.141666666666667
21.21527777777778,2008-03-31,11.4
30.30555555555556,2008-04-01,14.958333333333334
33.01388888888889,2008-04-02,14.241666666666667
24.60138888888889,2008-04-03,12.695833333333333
42.75972222222222,2008-04-04,27.735416666666666
28.229166666666668,2008-04-05,20.041666666666668
14.006944444444445,2008-04-06,7.608333333333333
26.266666666666666,2008-04-07,15.102083333333333
34.625,2008-04-08,21.23958333333333
57.84722222222222,2008-04-09,39.266666666666666
72.57222222222222,2008-04-10,55.175
66.90972222222221,2008-04-11,41.69166666666667
23.02777777777777,2008-04-12,9.375
19.104166666666668,2008-04-13,12.45
28.67708333333333,2008-04-14,20.23958333333333
21.04861111111111,2008-04-15,12.504166666666665
33.520833333333336,2008-04-16,17.733333333333334
40.30555555555556,2008-04-17,24.116666666666664
42.31944444444444,2008-04-18,27.416666666666668
40.96527777777778,2008-04-19,34.583333333333336
24.284722222222225,2008-04-20,18.758333333333333
45.6875,2008-04-21,30.025
51.90972222222222,2008-04-22,34.675000000000004
69.71527777777779,2008-04-23,52.975
29.27083333333333,2008-04-24,15.55625
35.92361111111111,2008-04-25,16.991666666666667
27.104166666666668,2008-04-26,14.275
25.89583333333333,2008-04-27,15.233333333333334
23.02083333333333,2008-04-28,15.183333333333332
14.61736111111111,2008-04-29,8.541666666666666
13.958333333333334,2008-04-30,5.7
11.40277777777778,2008-05-01,6.291666666666667
20.194444444444446,2008-05-02,14.066666666666668
26.791666666666668,2008-05-03,19.091666666666665
26.097222222222225,2008-05-04,18.572916666666668
34.15972222222222,2008-05-05,16.974999999999998
38.859722222222224,2008-05-06,20.9
39.35416666666666,2008-05-07,20.73333333333333
37.270833333333336,2008-05-08,17.3
34.38888888888889,2008-05-09,16.108333333333334
