o3_b011,o3_n043,o3_r001,o3_r012,o3_r701,o3_r710,o3_r801,o3_r811,o3_r831,o3_wol1
131.4375,111.3125,107.875,126.5625,113.625,114.875,105.875,130.25,109.25,100.5625
128.375,86.3125,122.5,139.9375,110.75,114.625,106.0,125.625,108.375,112.4375
99.0625,93.375,82.375,103.625,96.125,97.125,94.75,99.5,98.125,75.1875
132.125,125.0,114.25,132.9375,141.0,144.625,120.5,129.375,128.125,111.5
163.0625,156.5625,150.3125,171.0625,171.5,180.875,147.625,153.25,156.75,148.6875
138.9375,122.6875,124.0625,145.4375,116.875,123.5,121.0,130.375,117.25,120.3125
89.0625,62.4375,77.4375,92.0,71.375,79.625,74.75,84.375,75.5,76.5
85.75,61.9375,77.5,90.4375,75.0,74.0,51.875,79.375,48.375,71.5625
125.125,84.375,118.8125,126.25,122.375,134.5,115.625,140.125,122.875,114.125
143.4375,100.6875,132.6875,137.8125,153.25,158.0,125.375,153.5,146.5,124.125
41.3125,42.9375,51.25,45.25,58.375,47.5,40.625,42.125,40.625,43.5625
93.875,76.375,90.0,93.25,86.75,90.25,88.25,96.125,82.125,86.3125
62.6875,48.8125,56.6875,73.0625,70.75,69.875,60.375,65.25,65.0,56.125
64.5625,58.625,54.5625,73.4375,62.125,65.375,63.0,70.125,63.75,54.25
130.1875,96.8125,121.9375,133.125,115.875,123.125,113.25,131.0,117.375,115.5625
160.9375,118.75,153.375,170.625,132.25,119.375,142.25,160.875,105.875,152.1875
154.4375,108.1875,142.6875,154.3125,175.125,174.75,159.5,175.625,170.5,137.4375
130.625,113.5625,118.0,144.25,86.0,79.625,156.5,161.625,88.375,122.125
113.5,68.125,111.9375,115.875,99.25,100.375,106.75,120.625,102.75,101.0
73.625,39.5625,68.8125,76.0,64.375,68.5,61.5,71.25,59.0,64.1875
76.75,47.1875,71.0,80.3125,66.875,69.125,63.75,75.875,68.375,69.375
76.625,53.25,70.4375,83.3125,62.375,69.0,69.0,84.625,71.5,70.5
85.125,63.875,81.6875,90.5625,77.875,81.0,67.875,82.875,72.25,77.6875
61.3125,43.625,62.0625,67.375,55.0,61.125,46.375,57.25,47.75,59.1875
68.5,56.625,61.1875,70.3125,63.75,68.25,65.375,73.375,63.875,61.5625
88.75,79.625,87.6875,95.5625,87.375,92.625,90.25,100.125,93.625,85.625
137.4375,116.625,125.0625,145.125,127.875,136.125,139.375,159.0,130.875,122.0
149.5625,110.4375,125.625,143.5,147.0,150.625,123.0,151.0,137.875,125.5
89.0,77.4375,90.875,93.375,76.75,81.5,70.375,84.875,74.5,83.0625
69.3125,53.25,63.3125,74.25,63.5,67.625,58.625,66.375,57.125,60.25
64.1875,62.8125,61.0625,70.0,71.75,72.75,65.875,75.75,69.125,61.0625
92.5625,86.875,83.625,95.0625,85.25,88.5,80.125,90.625,85.5,79.0625
68.5625,62.1875,67.1875,73.75,62.5,67.375,61.875,69.75,64.75,65.3125
53.375,52.3125,49.1875,58.625,58.25,60.5,49.875,60.625,54.875,46.6875
56.6875,35.3125,55.5,57.625,41.5,50.625,43.375,49.875,44.625,47.75
63.6875,52.25,57.0,73.75,68.5,67.25,53.75,61.625,59.75,51.4375
45.5625,42.875,42.0625,50.625,50.125,49.5,42.125,60.5,56.375,40.5
87.75,62.125,85.4375,89.25,72.125,75.25,70.0,82.125,59.625,75.5625
83.625,68.4375,81.9375,91.5625,51.125,57.5,53.875,60.875,47.75,79.4375
62.25,52.8125,61.25,65.3125,52.5,57.75,47.25,50.5,43.75,57.375
40.3125,30.5625,42.6875,49.75,32.625,25.625,19.0,21.5,39.0,35.75
68.625,44.5,67.0,75.4375,58.75,56.875,48.25,59.625,54.5,59.6875
63.4375,44.1875,57.8125,67.125,58.5,63.25,44.625,58.0,59.375,51.5
39.8125,32.125,35.4375,49.625,57.375,55.5,49.375,29.375,45.25,30.1875
79.25,51.875,72.3125,80.3125,71.875,78.375,64.125,71.875,70.875,65.6875
70.75,57.5625,69.0,78.25,49.75,51.125,41.25,53.375,39.25,64.75
53.125,51.375,48.625,58.0625,60.875,60.375,48.125,60.75,57.625,47.25
87.625,64.25,84.0,88.4375,83.25,85.125,66.625,81.125,67.875,72.75
58.6875,35.75,52.8125,60.375,42.625,46.375,35.625,45.875,41.0,50.6875
64.8125,58.125,60.125,68.9375,70.625,67.75,58.5,68.75,64.25,51.0
37.6875,26.8125,37.3125,46.3125,62.25,63.375,57.0,60.125,53.875,30.8125
65.9375,54.25,62.625,70.4375,57.5,57.625,59.625,58.125,51.125,57.875
79.4375,71.5625,69.5,82.5625,72.625,72.875,84.125,98.625,91.25,70.0625
65.375,61.625,58.875,65.0,78.0,79.875,69.375,76.5,77.75,62.3125
50.25,41.4375,46.0625,51.5,62.875,59.875,44.125,51.375,50.0,43.5
67.3125,46.25,61.3125,69.1875,53.125,58.125,52.375,66.25,67.625,57.0
52.9375,33.5,45.0625,57.0,57.0,60.25,50.875,58.875,46.625,40.9375
70.0,44.875,66.75,74.5,61.5,64.375,48.5,64.5,56.125,61.375
99.125,67.1875,92.0625,100.25,91.0,98.375,76.0,92.5,81.625,84.4375
59.9375,42.5625,54.3125,61.4375,52.875,57.375,52.25,62.5,54.625,51.5
39.0625,30.5,44.5625,52.875,42.375,43.25,36.0,41.375,34.75,38.75
66.625,46.75,57.4375,67.375,62.125,67.625,51.875,63.0,64.5,54.6875
65.0,46.375,55.3125,65.3125,60.875,66.375,51.75,63.25,63.875,50.1875
57.875,32.625,52.1875,58.75,50.625,53.75,38.125,54.5,51.875,45.1875
35.8125,18.875,30.4375,39.8125,27.125,29.125,21.625,25.75,26.625,29.3125
34.0625,39.5,29.25,42.375,48.0,49.125,38.75,43.5,43.625,27.5625
57.625,49.0,51.625,61.5,60.75,62.0,55.125,58.625,58.375,50.3125
62.1875,51.875,56.5625,63.8125,58.125,61.0,48.25,57.75,62.5,53.0
66.4375,57.9375,56.4375,68.8125,69.625,69.75,58.125,65.5,59.375,49.0625
46.8125,43.5,39.3125,50.75,57.875,56.5,35.375,49.875,50.75,34.625
63.4375,62.0,49.25,68.0625,61.875,61.375,49.625,59.875,54.125,46.0625
60.9375,56.1875,43.5,66.4375,63.125,64.0,40.75,32.5,57.75,36.3125
43.625,40.6875,32.5625,45.9375,44.375,41.25,34.625,34.25,46.875,28.0625
74.1875,71.625,57.625,70.125,72.375,73.0,63.625,71.25,66.625,49.0625
90.375,83.8125,75.625,85.25,79.625,82.0,75.625,88.375,83.875,77.125
86.1875,68.0,66.125,80.25,68.375,75.875,59.375,80.125,75.375,72.375
50.3125,28.375,34.375,46.6875,54.5,54.25,25.9375,40.375,37.0,37.0625
33.3125,25.125,35.75,46.5,31.375,29.3125,16.6875,32.125,17.875,32.9375
34.25,18.1875,30.0625,41.75,42.125,42.875,19.875,24.625,37.125,24.1875
31.875,16.6875,30.875,38.375,24.75,28.375,16.625,22.5,20.125,28.1875
74.0,59.25,71.875,80.4375,67.75,77.0,63.625,81.75,77.375,70.4375
44.625,41.0625,41.25,51.9375,57.375,56.25,48.875,58.75,59.125,37.625
63.3125,41.0625,55.5625,65.8125,58.75,66.625,50.375,61.75,64.125,49.625
52.8125,34.1875,45.375,52.125,51.25,52.25,43.375,47.0,49.75,43.5625
73.375,50.125,62.25,73.25,61.25,70.5,54.125,62.625,61.125,55.25
40.0625,20.5,34.0,42.875,35.25,42.375,25.75,32.375,44.125,30.6875
54.5,38.0625,45.6875,57.0,56.25,60.625,50.125,57.5,55.125,42.625
52.6875,44.875,54.0,60.9375,54.375,58.375,51.625,60.625,57.625,48.25
57.625,52.9375,59.3125,59.25,63.75,67.375,44.875,55.375,55.375,54.75
66.125,42.0,62.1875,71.75,54.375,61.375,40.25,52.5,55.0,54.75
37.875,31.125,32.75,48.875,43.375,45.75,28.25,45.75,23.0,33.3125
76.8125,38.375,75.875,92.125,63.125,68.125,40.5,62.875,52.75,74.625
56.4375,35.1875,50.25,67.8125,40.875,39.375,23.25,33.75,25.75,48.5
39.8125,35.25,36.125,48.1875,56.75,56.125,45.25,49.25,53.875,25.875
57.75,53.8125,51.9375,63.8125,63.5,62.25,60.0,65.875,62.625,49.5
39.6875,41.9375,45.3125,50.4375,46.375,44.125,32.875,43.25,42.125,44.5
19.5,7.625,18.4375,30.375,13.4375,18.0,12.875,16.25,11.875,15.125
22.3125,6.4375,20.375,26.75,14.0,15.5,11.6875,12.1875,5.6875,21.8125
7.125,7.6875,6.9375,17.6875,11.0,11.5,3.3125,24.375,22.0,9.0
27.0625,10.0,23.5,34.1875,30.625,36.375,20.0,22.25,25.625,17.75
47.375,32.5,35.4375,52.0,,,23.75,44.125,36.375,40.3125
28.6875,26.375,29.75,41.4375,,,24.25,33.0,22.75,34.3125
70.1875,48.375,55.75,69.25,,,45.75,69.75,63.125,61.0625
49.5625,26.25,38.6875,58.9375,,,20.1875,24.875,34.125,36.5
29.3125,18.875,24.8125,41.1875,,,15.875,28.0,22.375,31.625
30.0625,17.75,24.4375,38.1875,,,13.0,20.25,23.75,25.3125
9.875,8.4375,7.875,16.75,,,4.8125,10.875,11.375,6.4375
21.125,14.6875,14.6875,26.25,7.9375,10.4375,2.4375,7.625,7.125,13.5625
20.875,19.4375,16.1875,27.8125,15.375,20.625,,,,16.3125
52.125,49.25,38.0,52.75,49.75,53.625,,,,38.625
32.9375,26.6875,23.125,34.8125,30.375,34.875,,,,20.375
21.375,21.8125,17.1875,25.25,29.5,33.625,,,,15.0
37.875,28.9375,28.625,50.1875,22.0,27.25,,,,28.625
6.0625,4.0,6.125,11.4375,13.625,7.1875,,,,3.1875
25.0,11.6875,20.6875,29.9375,28.75,32.0,24.75,,,14.625
41.8125,46.4375,34.625,45.5625,53.125,57.5,43.5,,,34.0625
41.9375,48.875,35.625,47.8125,57.25,58.75,46.625,,,36.4375
40.25,19.625,33.1875,47.875,36.375,39.875,22.75,,28.625,31.0
49.8125,27.0,37.5,50.4375,45.375,50.375,41.5,38.5,49.5,29.875
40.1875,28.3125,33.0625,47.6875,46.0,50.0,32.0,43.125,47.125,31.0625
38.0625,19.375,32.8125,41.5,32.125,38.25,24.75,33.0,43.75,25.0625
25.625,10.75,21.625,32.6875,13.375,17.75,13.875,17.5,23.625,19.375
43.6875,29.3125,36.0,46.5625,41.125,47.75,27.25,42.75,41.625,35.125
41.8125,35.125,36.5,46.25,37.0,42.0,33.75,42.5,48.875,31.625
30.3125,33.875,25.1875,35.75,43.5,49.875,37.625,43.625,44.0,20.75
34.0,20.375,29.75,47.75,26.875,32.5,15.5,26.75,22.75,31.0625
33.25,17.625,27.1875,44.0625,29.875,32.375,16.5,21.125,13.75,29.8125
37.25,14.5,28.0,34.625,23.0,28.375,19.0,24.0,27.625,22.4375
38.5,22.5,36.0625,48.1875,30.75,42.25,13.3125,29.125,20.625,35.5625
36.875,24.6875,29.25,49.1875,37.0,44.375,21.375,27.125,30.75,38.75
53.875,37.625,39.1875,41.875,27.875,31.375,23.625,45.125,36.25,43.1875
7.3125,7.375,9.0,11.1875,24.375,21.5625,1.5,4.0,3.125,4.5625
31.0,13.1875,18.875,32.875,25.5625,27.4375,19.875,21.125,23.25,23.625
45.1875,22.9375,38.0,47.875,40.875,47.75,39.0,43.25,35.125,39.5
51.75,35.375,42.4375,51.8125,55.0,56.625,43.375,52.625,55.75,40.3125
45.5625,32.0,41.625,52.0625,54.5,38.125,39.75,45.25,51.875,41.8125
54.4375,38.3125,45.6875,58.375,53.375,54.375,45.0,48.125,46.625,45.25
20.125,24.4375,13.125,23.3125,24.25,24.125,19.375,24.75,34.5,13.5625
56.75,39.9375,40.0625,60.4375,49.125,57.625,32.125,55.625,52.25,54.4375
29.625,2.6875,22.4375,32.125,17.6875,19.625,16.25,26.75,25.375,26.0
23.6875,10.375,15.875,23.875,28.75,30.375,17.5625,23.75,28.0,8.5
65.5625,50.3125,58.125,66.6875,61.25,64.625,50.75,58.5,56.375,54.25
66.6875,45.375,57.3125,66.9375,66.25,71.875,61.375,68.25,66.5,53.875
58.5,43.8125,50.3125,58.9375,58.5,63.125,54.0,53.0,44.625,50.25
57.625,44.625,51.25,58.0625,52.875,57.0,46.5,57.25,49.25,47.125
21.8125,13.75,19.375,26.1875,21.9375,17.3125,21.125,23.5625,17.875,19.875
7.875,6.625,7.125,10.125,3.4375,2.5625,1.0,3.75,1.0,8.5
3.5625,7.125,4.5,10.625,9.625,9.375,1.25,8.25,9.25,10.1875
15.125,6.5,12.625,27.4375,6.375,6.4375,1.0625,3.875,2.25,14.5625
22.4375,10.375,16.75,32.0,11.375,18.375,7.5,12.375,13.4375,15.4375
43.875,31.375,33.25,39.8125,41.25,47.25,21.5,36.875,38.625,24.625
6.5625,7.625,5.6875,9.6875,3.5625,4.4375,4.5625,9.0,14.875,3.875
19.875,13.0625,14.25,20.1875,19.5,27.75,17.25,30.875,32.375,11.9375
10.9375,2.875,4.5,8.8125,9.125,13.5,4.75,10.625,15.875,3.5
37.0,12.4375,19.0625,31.125,26.875,36.125,19.5,24.75,39.25,17.875
40.8125,18.9375,23.25,40.4375,40.0,48.0,12.5,18.25,22.625,15.5625
18.8125,9.0625,17.5625,24.8125,11.4375,14.75,5.375,8.625,8.25,10.375
42.0625,26.8125,40.8125,46.6875,28.5,37.25,21.125,32.75,37.125,35.0625
19.1875,19.75,15.25,24.1875,11.0,8.625,10.375,22.5,17.875,15.8125
9.3125,8.375,7.5625,10.125,9.625,7.0,9.0,17.625,7.5,7.8125
5.75,4.1875,4.1875,4.1875,10.375,14.5,14.25,29.75,27.625,4.3125
24.125,21.4375,18.875,27.4375,25.625,32.5,26.5,42.625,38.125,17.5625
6.3125,5.375,5.0,8.6875,8.5,7.0625,6.0,16.625,18.75,5.6875
3.0,2.5625,5.5,8.0625,4.875,1.9375,3.125,7.875,2.75,2.875
45.75,30.0,40.625,51.9375,33.75,39.75,28.625,40.25,25.375,38.8125
53.375,36.5,45.25,55.25,39.625,41.875,39.75,46.25,32.125,44.125
11.25,7.75,11.0,16.0,1.625,1.6875,1.5,7.5,3.625,9.9375
3.375,3.125,4.5625,4.5,2.25,2.3125,3.4375,14.875,11.0,3.4375
2.5625,2.5625,3.1875,2.875,2.9375,3.1875,2.9375,8.5,10.25,2.25
30.75,11.75,17.3125,29.4375,30.75,38.75,24.125,28.625,44.5,15.8125
22.875,9.9375,14.4375,20.625,18.875,24.1875,9.4375,11.75,13.75,8.75
41.875,27.6875,32.1875,40.0625,36.25,41.25,32.0,26.375,28.625,28.375
49.8125,49.625,33.1875,48.5,46.0,53.625,42.625,56.375,55.5,36.25
27.0625,7.75,23.25,31.875,20.375,22.3125,15.9375,16.875,14.25,18.875
26.8125,24.1875,24.75,27.625,30.375,36.375,24.875,34.75,39.375,19.375
13.6875,13.625,9.1875,15.125,18.4375,20.9375,14.125,25.75,32.0,4.625
37.375,28.1875,25.75,45.8125,32.625,40.625,24.0,38.875,37.25,23.5
36.0625,16.3125,23.875,34.4375,28.125,36.625,13.75,25.5,28.0,17.8125
31.125,20.875,25.3125,38.25,23.0,32.125,16.5,30.25,27.5,27.375
37.6875,27.875,31.375,37.1875,16.375,21.375,11.625,25.0,22.75,26.125
12.5,10.1875,13.6875,22.3125,11.375,9.0625,6.75,10.625,8.75,16.9375
4.9375,2.0625,5.0625,8.375,1.3125,1.0625,1.0,5.125,3.5,2.75
2.0,2.0,2.875,2.4375,1.0,1.375,1.0,7.25,4.0,2.0
13.5,11.4375,10.9375,10.625,17.75,24.875,14.125,27.5,28.375,9.5
33.3125,31.625,25.8125,29.4375,21.125,39.0,30.375,40.375,40.0,28.1875
43.3125,36.5,36.0,45.8125,44.375,45.75,36.375,48.75,50.5,34.5625
23.1875,13.6875,18.375,23.875,16.5,22.75,16.5,16.625,25.0,12.0625
42.625,22.625,27.25,41.1875,27.75,38.25,23.625,30.125,21.0,27.25
33.3125,13.5625,27.5,46.0625,28.25,35.25,6.0,21.375,15.0625,29.0625
6.5625,3.9375,8.625,16.1875,4.9375,10.25,2.25,8.625,4.125,7.3125
18.8125,12.75,13.6875,20.75,9.4375,9.3125,1.75,8.5,6.5625,16.25
4.125,2.125,4.3125,11.5625,1.0625,1.0,1.125,5.875,2.125,2.0625
10.375,10.6875,9.8125,14.9375,26.0,19.1875,16.75,24.875,20.375,9.9375
33.875,32.625,24.875,38.1875,43.125,41.25,18.625,44.25,38.625,27.125
20.1875,9.5,11.8125,18.4375,22.375,28.75,22.75,13.875,27.5,16.0625
30.625,19.5,33.875,40.3125,21.875,29.25,15.125,30.75,15.125,29.9375
37.8125,27.8125,29.8125,45.375,26.375,38.0,23.0,35.375,13.625,37.0
35.25,11.75,24.8125,41.8125,26.25,29.25,14.125,19.0,21.5625,25.5625
25.9375,3.25,19.25,36.125,13.25,19.75,9.625,17.0625,7.4375,21.5625
60.9375,45.4375,52.4375,64.5625,57.125,61.875,48.5,59.75,57.125,52.875
50.875,35.75,39.1875,50.625,37.25,46.375,34.25,44.375,43.5,32.5625
38.8125,15.5625,33.5625,48.3125,27.25,37.0,10.625,22.25,9.3125,37.25
45.4375,35.875,43.125,52.1875,39.375,46.125,22.125,37.125,29.0,46.6875
32.8125,20.6875,30.3125,39.75,35.3125,38.5625,20.25,23.0,21.25,23.25
52.0,29.25,42.25,48.875,43.625,50.0,30.25,33.75,35.75,35.9375
59.0625,28.8125,44.6875,54.1875,49.5,59.0,40.125,47.75,49.125,37.8125
64.8125,47.6875,56.625,64.25,55.125,59.25,52.125,58.5,50.875,53.0625
51.375,40.4375,46.25,58.625,45.25,50.625,41.25,50.375,31.25,44.8125
29.0,15.75,23.125,35.4375,20.25,21.625,17.0625,20.75,11.875,24.25
29.0,32.0625,25.375,37.6875,41.125,42.5,16.5,33.25,37.0,19.75
27.0,27.0,20.0,31.875,36.5,39.25,25.75,27.375,38.25,18.0
36.0,37.4375,29.0625,42.5625,45.0,59.875,32.5,47.0,46.125,23.375
17.5625,16.25,13.9375,28.5,12.125,14.75,14.125,23.625,12.25,15.125
41.75,50.3125,29.5625,48.0,51.875,55.25,34.125,50.75,51.875,31.875
43.125,43.625,35.0625,41.0625,50.625,61.375,45.75,57.375,58.5,34.0
37.6875,36.0625,34.375,38.75,49.5,51.75,35.5,50.375,44.0,30.0
21.5625,24.1875,19.875,21.375,25.125,28.625,32.0,46.875,48.625,18.8125
36.6875,26.25,26.375,45.375,25.25,29.75,23.875,47.375,35.625,29.125
27.9375,20.3125,17.3125,26.3125,23.875,28.125,24.0,41.875,39.625,14.3125
21.1875,16.3125,16.3125,26.875,17.875,22.25,15.375,30.625,29.75,16.875
17.375,19.8125,14.75,21.125,15.375,16.875,13.0,20.875,18.25,13.125
32.75,38.4375,24.4375,31.9375,36.375,38.375,35.75,52.75,52.375,27.125
11.5,24.125,21.6875,26.25,12.0,18.375,24.5,34.25,37.375,15.375
7.375,3.0,6.5625,13.125,5.25,6.625,3.8125,6.25,4.6875,5.375
23.0,13.4375,17.3125,34.625,4.25,7.0625,7.75,17.25,6.25,20.4375
24.3125,9.3125,15.25,31.875,30.125,38.5,15.8125,22.125,30.25,15.5
72.8125,53.875,62.75,67.8125,66.875,74.625,60.5,71.75,73.0,51.375
74.5,56.0625,65.8125,72.4375,71.875,78.0,71.25,78.875,73.375,62.4375
70.75,63.0625,68.5,73.6875,72.75,79.0,72.125,79.375,85.375,60.1875
57.8125,38.5625,50.5625,65.125,55.625,59.875,48.125,59.375,41.5,52.375
47.4375,25.25,39.3125,47.625,37.375,44.5,35.0,35.5,39.5,25.1875
8.0,7.375,10.1875,27.0,21.625,27.375,4.4375,10.875,7.375,13.3125
30.125,13.0,23.9375,38.875,18.375,21.4375,16.0,20.0,12.875,24.0
44.3125,6.875,19.125,47.75,38.75,47.5,33.0,43.625,29.125,28.625
48.5625,32.3125,40.6875,54.125,31.875,42.5,24.75,37.0,36.125,34.25
58.0,44.375,49.0625,62.875,47.75,58.0,28.25,54.5,45.625,53.8125
37.4375,7.75,26.5,46.375,33.875,41.75,16.8125,32.8125,27.375,34.3125
50.4375,27.375,35.375,58.0,39.125,51.0,25.0,51.25,40.375,44.375
47.375,24.6875,41.0,60.0,32.875,31.5625,24.1875,47.0,18.625,42.625
18.1875,13.8125,12.3125,22.1875,15.5,22.625,17.375,31.875,33.375,8.625
3.0,3.4375,4.1875,8.3125,6.5,7.0625,4.375,13.625,14.375,2.875
23.0625,20.1875,17.3125,26.4375,,,13.75,27.625,27.875,22.9375
11.3125,13.5,11.375,15.0,,,9.125,23.375,23.5,15.125
8.125,9.1875,9.3125,10.6875,,,7.0625,23.875,19.25,11.3125
23.5,18.0,21.9375,37.8125,,,8.5,42.0,37.0,23.0625
30.9375,25.125,35.75,47.3125,,,7.625,35.25,14.375,36.4375
27.75,16.0625,24.1875,30.3125,,,8.125,24.8125,7.375,15.0625
36.8125,14.625,32.25,46.75,,14.375,14.375,29.625,17.375,31.5
55.125,41.75,39.5,52.375,45.0,57.0,,,,41.375
64.6875,58.9375,60.0,64.9375,62.5,66.0,,,,53.0625
40.3125,36.125,40.5625,47.0625,47.25,48.5,,,,34.1875
,25.0,,,35.875,39.375,,,,
,39.875,,47.125,30.375,37.375,,,,33.375
47.6875,40.0,33.1875,46.5,29.125,35.375,,,,36.625
33.875,31.375,23.5,41.9375,22.75,24.625,,14.875,16.375,31.8125
58.9375,57.875,43.1875,60.0625,56.75,59.125,,64.375,63.375,38.8125
81.9375,78.5625,67.8125,81.8125,80.125,81.625,,82.625,83.5,69.9375
56.9375,46.125,45.125,64.375,39.75,56.875,28.8125,65.0,62.25,50.9375
62.3125,34.0,53.4375,70.6875,43.375,52.25,36.0,56.25,50.0,51.9375
56.875,30.8125,49.1875,60.875,58.625,67.875,41.125,54.25,61.5,46.875
68.125,41.3125,50.125,64.25,72.75,75.375,58.875,69.125,70.25,48.375
66.75,38.875,52.25,69.5,66.125,73.5,55.25,66.75,58.0,46.5625
74.1875,52.0,68.4375,83.1875,66.5,72.0,46.875,71.375,59.625,68.75
65.5,53.125,63.6875,66.9375,64.625,65.625,52.875,64.125,52.5,61.0
37.6875,3.6875,27.5,45.375,14.625,17.5,9.375,20.375,14.875,33.25
36.0625,,24.0625,49.375,29.5,32.25,19.625,38.5,38.625,27.625
46.75,,35.1875,47.625,43.375,45.875,41.25,54.75,46.25,32.875
38.75,33.0,31.0625,40.0,38.625,43.375,42.375,48.75,51.375,29.75
24.3125,17.4375,19.8125,27.5625,15.375,19.75,22.625,23.875,28.0,22.1875
78.6875,75.1875,62.5,77.875,75.625,77.25,72.5,81.625,79.875,63.125
45.0625,48.0,45.1875,52.25,68.25,70.0,53.625,74.75,65.75,51.5625
41.9375,29.6875,39.375,64.625,55.875,57.875,36.625,46.625,25.75,43.25
43.25,34.75,33.3125,50.375,50.625,58.375,44.5,61.125,56.625,29.6875
55.0,44.0,42.6875,65.0625,43.375,46.875,44.5,55.0,58.75,36.5
67.75,56.25,47.5625,74.8125,66.375,69.875,53.375,74.25,71.875,50.75
48.4375,39.75,37.0,52.375,58.75,61.375,53.125,64.0,59.375,30.6875
70.5,67.375,58.0,74.5625,65.0,66.5,61.25,72.5,68.375,61.75
76.3125,69.875,59.8125,78.125,69.375,72.125,63.0,69.375,64.625,59.0
62.6875,60.25,53.9375,67.9375,63.375,71.875,64.75,73.25,68.75,51.625
85.1875,53.375,73.1875,85.25,79.25,81.25,59.75,67.875,55.875,56.625
45.0,26.1875,40.875,54.0,51.75,55.875,28.375,38.0,32.875,37.1875
52.25,34.75,46.0625,50.25,49.25,50.875,43.0,53.375,48.75,35.0
43.25,10.625,20.375,40.8125,40.25,44.125,33.75,39.5,41.375,30.5625
70.625,49.1875,66.5625,78.0,64.25,71.375,54.625,76.625,61.25,64.6875
63.0,55.4375,56.875,67.375,75.375,76.625,63.0,68.25,58.875,50.875
79.625,54.1875,65.25,81.125,77.375,84.625,66.375,73.25,64.125,59.3125
64.75,38.125,54.75,73.5,56.75,59.0,45.375,54.875,51.0,57.0625
62.3125,32.9375,54.5,68.5,65.25,70.75,42.125,58.75,50.0625,43.0
69.8125,57.0625,55.875,71.625,71.375,72.75,51.25,64.75,66.0,53.3125
62.875,52.1875,53.0625,65.9375,78.25,79.875,53.0,73.25,66.75,45.25
75.0,72.6875,61.0625,78.5,79.625,78.125,68.375,79.0,75.75,58.4375
82.25,79.0,68.5625,81.0,83.125,81.875,74.375,85.75,86.5,65.0625
88.75,66.8125,76.875,96.625,85.75,89.375,69.5,74.0,72.5,72.5
74.9375,72.625,64.6875,80.3125,82.0,80.0,70.625,84.75,81.375,62.75
74.75,52.125,62.1875,81.3125,73.375,76.75,44.875,80.625,79.0,57.75
75.5625,64.75,65.4375,82.375,69.375,76.5,56.125,63.875,65.375,53.375
91.8125,75.3125,74.0,93.25,84.875,88.75,62.875,85.5,77.375,75.625
95.0,89.5,86.0,97.625,89.875,88.875,81.5,92.625,88.25,79.3125
98.8125,91.9375,82.8125,99.6875,99.375,96.375,85.375,103.625,94.75,85.3125
115.125,87.875,90.75,113.3125,110.125,109.875,90.75,121.125,110.125,101.3125
115.875,98.9375,83.25,122.625,121.25,120.5,95.625,124.75,106.5,95.6875
152.125,125.4375,121.5,152.4375,137.375,138.0,126.25,160.25,148.25,127.6875
127.0,92.5625,120.0625,133.8125,138.0,133.75,106.375,139.5,133.125,115.625
148.25,112.3125,126.375,147.125,151.125,152.25,111.875,146.875,137.625,122.9375
143.5,130.75,122.5625,138.875,141.875,142.25,138.5,151.375,146.75,120.4375
149.9375,144.375,132.4375,153.3125,158.75,145.0,144.125,156.625,151.875,131.75
143.3125,138.5625,126.6875,143.8125,146.25,144.875,133.0,145.5,140.375,124.25
122.1875,112.8125,100.375,125.75,105.875,110.875,108.625,123.25,117.375,100.1875
65.875,62.625,55.0625,67.0,86.875,84.875,61.125,70.875,69.625,49.1875
62.0,50.3125,40.75,58.125,51.625,57.125,45.875,62.5,62.375,38.0625
101.75,86.1875,72.125,103.375,95.75,93.25,84.125,110.75,109.0,73.75
118.125,112.75,96.25,116.375,111.25,117.75,105.25,120.375,117.625,96.875
110.1875,106.25,93.9375,109.4375,107.875,112.75,98.375,111.25,108.0,92.375
97.8125,92.125,81.9375,96.0,98.125,99.5,88.375,101.875,98.0,75.1875
90.5625,80.5625,70.1875,90.375,81.125,85.25,76.625,89.875,84.75,70.4375
89.9375,85.25,74.25,96.75,93.5,93.375,78.375,89.5,85.375,74.25
105.5625,75.0625,94.5625,108.625,102.0,102.25,80.75,109.5,99.875,93.9375
121.25,78.375,109.6875,123.5625,115.875,120.125,89.875,128.875,119.75,106.125
120.4375,98.8125,104.125,120.3125,118.25,118.625,94.5,125.875,119.25,115.6875
107.75,96.875,103.75,108.5,101.25,104.25,98.375,119.75,112.125,106.4375
74.625,63.0,57.625,64.5625,85.75,83.5,46.25,58.375,75.0,50.5625
83.3125,85.625,75.5,105.5625,76.375,71.0,77.75,95.875,87.625,77.375
86.5625,60.625,80.125,89.5,85.5,82.875,74.5,82.375,85.25,75.4375
87.25,68.125,76.8125,92.0,92.0,78.625,82.625,91.75,78.625,76.8125
97.625,66.5,88.625,101.5,80.875,82.125,76.875,85.125,77.875,84.4375
89.875,82.0,81.625,94.125,91.375,90.0,86.375,93.0,85.625,82.0
77.3125,70.9375,72.0,82.4375,82.625,82.25,77.5,79.75,78.5,71.4375
57.5,34.25,52.625,58.125,59.375,62.5,46.125,53.125,50.0,48.625
79.3125,53.4375,70.375,82.5625,75.5,81.0,57.375,67.75,58.375,67.625
80.0,52.8125,69.75,82.0,57.0,61.875,57.875,62.75,49.625,67.375
41.6875,41.4375,39.125,42.5,49.875,58.0,50.625,60.875,59.125,34.5
74.6875,57.75,64.4375,80.875,86.75,88.375,67.125,82.25,80.75,61.5625
