o3_b011,o3_n043,o3_r001,o3_r012,o3_r701,o3_r710,o3_r801,o3_r811,o3_r831,o3_wol1
74.625,54.625,64.125,77.25,60.375,65.875,,,,56.875
77.625,64.125,63.625,81.875,70.625,77.875,,,,62.0
61.25,76.75,59.125,74.5,,,,,,57.625
,67.875,76.875,85.25,,,,,,72.375
,78.375,71.875,85.75,,,,,,70.875
77.125,64.75,68.375,81.125,,,,,,64.375
52.375,23.875,39.25,56.375,,,4.25,,10.875,38.375
14.375,10.125,11.125,24.875,,,5.125,,14.125,10.875
75.625,55.75,64.25,82.5,,,49.0,63.0,48.875,64.625
83.25,67.25,74.375,91.0,,,56.25,75.625,,76.875
79.5,62.0,75.125,84.75,,,46.125,66.875,,75.75
87.125,49.125,66.125,93.5,,,52.5,50.25,75.75,75.25
75.125,51.25,60.5,75.0,59.25,67.25,37.0,57.375,56.25,51.125
46.875,56.25,43.625,74.375,68.375,70.375,51.25,28.625,65.5,38.25
77.125,65.75,51.625,82.375,70.125,77.25,58.625,75.875,64.25,53.125
64.875,38.0,52.625,70.0,47.375,58.25,28.875,34.0,23.125,44.0
79.375,78.375,65.625,84.75,80.75,84.875,70.375,76.75,78.5,66.25
84.875,80.5,71.0,83.0,76.875,77.75,79.5,85.0,74.625,69.125
72.25,50.375,60.25,79.125,62.75,73.875,57.5,66.625,50.75,55.375
73.625,64.125,57.0,91.625,83.0,88.875,62.875,86.25,52.0,47.125
77.875,70.5,37.875,80.125,68.875,80.0,67.75,81.125,70.5,50.25
91.75,68.875,64.25,98.0,72.5,78.875,45.5,61.875,38.5,70.625
92.875,69.875,79.125,100.0,83.25,93.875,70.375,84.375,65.75,72.625
99.75,83.5,74.625,101.375,76.875,81.875,77.375,90.0,87.75,85.0
92.25,81.625,84.625,97.25,71.0,83.625,61.375,81.625,79.25,76.75
62.875,53.625,46.5,72.375,65.5,61.25,59.625,72.25,72.875,41.125
83.625,78.875,57.25,90.75,75.25,86.25,71.75,79.0,80.125,61.25
84.375,73.125,58.125,89.75,66.375,75.625,68.75,80.0,76.75,64.0
79.5,67.125,56.375,85.375,64.0,75.375,56.5,77.0,79.0,64.625
70.0,60.375,46.375,75.75,63.625,72.0,47.0,70.75,64.875,58.75
39.625,37.375,27.75,43.5,41.125,46.625,31.625,47.75,47.0,36.375
75.75,68.375,59.875,77.875,66.0,72.0,50.25,73.25,70.75,65.625
64.375,53.0,44.5,66.125,62.75,67.875,64.5,83.875,76.75,40.5
78.75,66.25,50.5,85.875,70.125,78.625,43.125,76.875,75.0,62.0
52.125,30.25,47.0,64.0,38.75,37.0,13.625,26.375,,35.125
88.5,61.25,76.125,93.875,69.625,80.5,55.25,74.875,,73.75
77.625,54.375,65.0,91.375,70.25,81.125,50.625,47.125,44.875,58.875
111.125,86.125,101.875,116.5,99.375,103.625,79.75,80.625,97.875,99.625
113.0,94.375,105.5,117.375,102.5,106.375,86.75,114.375,101.0,102.75
65.75,29.125,64.25,72.875,54.25,63.0,30.5,45.625,42.375,57.0
75.375,60.5,67.0,82.625,68.375,72.75,32.875,63.375,52.75,66.125
91.625,63.75,80.875,101.5,80.75,88.5,38.0,87.625,69.0,83.75
80.5,64.875,77.25,88.75,76.0,82.75,63.5,76.375,53.25,69.875
83.5,70.25,78.0,89.75,65.625,55.625,66.125,74.0,38.75,71.125
113.25,101.75,86.5,115.0,99.375,103.625,99.75,114.875,83.375,93.375
140.0,99.75,113.375,141.75,127.375,129.75,116.0,129.875,120.25,125.0
124.0,102.25,87.375,127.75,110.0,117.0,85.375,111.875,97.875,101.125
130.5,105.25,91.25,131.375,120.0,123.25,89.25,119.375,103.875,103.0
148.875,82.75,105.125,149.75,131.875,137.75,103.5,130.75,119.375,121.5
137.25,104.5,100.125,135.375,120.25,128.0,61.0,137.375,127.75,102.5
143.625,111.0,103.0,140.375,127.375,132.5,88.875,139.125,128.25,113.0
145.125,94.625,114.125,145.25,140.125,144.5,125.375,142.0,136.625,124.125
140.25,131.5,118.25,128.0,128.75,132.375,122.5,132.625,125.375,127.5
141.125,131.75,119.875,141.75,133.375,136.875,122.5,138.0,128.375,124.125
141.25,117.375,102.75,144.875,116.875,127.25,118.375,131.25,124.5,112.625
140.5,127.75,121.125,153.375,97.625,127.875,98.5,124.5,111.75,128.875
62.75,43.0,60.5,85.375,46.5,45.875,46.25,68.5,59.375,59.25
76.25,59.25,71.25,95.25,74.125,79.0,70.875,79.75,64.375,70.875
40.625,39.75,31.75,47.75,47.5,51.375,42.375,49.625,54.875,34.5
98.375,97.375,85.75,105.375,97.0,101.75,88.25,97.875,95.375,91.5
98.375,85.375,75.5,103.625,88.125,84.5,77.625,75.0,90.25,80.125
111.25,102.875,85.0,106.5,99.0,,84.25,88.125,,96.625
130.875,105.875,97.5,136.375,116.5,118.75,78.875,75.875,102.0,117.375
113.375,74.625,72.75,106.0,104.375,111.0,77.875,55.125,103.25,96.125
112.375,81.5,73.125,102.5,94.5,99.5,72.5,77.375,76.5,91.375
99.0,88.875,79.875,96.5,96.375,102.25,84.125,98.375,103.875,94.0
67.5,61.0,68.5,82.0,52.625,57.25,40.25,65.875,56.125,66.75
30.0,20.75,23.625,67.625,26.0,31.625,23.125,42.75,39.25,43.0
40.75,23.5,36.75,45.5,39.25,36.625,15.75,41.25,36.375,37.0
84.0,54.625,82.375,91.0,84.875,92.125,51.5,84.25,49.25,74.75
20.875,13.75,21.375,33.5,33.125,37.0,30.375,54.625,23.875,23.875
57.125,,56.5,76.0,84.875,80.625,67.5,68.125,58.375,53.875
104.0,,96.375,118.875,104.625,105.125,89.625,110.375,96.375,102.875
90.25,,87.375,100.375,83.25,78.875,80.375,98.5,65.5,89.375
76.125,,59.375,92.875,52.375,45.875,59.5,86.875,9.625,62.875
62.875,48.375,74.5,87.75,54.875,52.375,36.375,54.25,45.125,65.75
41.625,32.5,45.25,46.375,48.375,17.0,21.625,47.375,35.25,33.875
54.75,52.75,52.625,67.75,44.875,40.625,34.625,49.375,48.5,46.125
59.625,32.625,48.875,67.625,60.25,55.375,53.625,62.0,68.75,43.0
71.375,50.5,66.375,76.125,67.75,67.75,46.875,59.875,63.875,62.25
112.25,114.25,109.5,139.125,92.75,91.5,,104.5,90.0,120.25
124.375,124.5,108.25,146.5,104.75,115.125,,139.375,119.625,74.875
93.75,87.375,83.375,115.25,75.875,72.625,54.125,77.625,62.875,86.375
71.25,68.125,61.875,83.5,77.125,75.25,63.5,77.375,73.125,62.125
46.0,50.0,46.75,57.0,69.0,64.625,56.125,62.375,68.875,45.25
69.125,60.125,54.375,84.25,75.0,79.0,49.25,70.875,73.125,57.875
64.625,53.0,64.125,73.375,63.375,62.125,32.125,46.625,69.625,51.75
61.875,68.5,75.625,86.125,67.625,59.125,53.75,68.5,74.125,60.5
73.25,69.875,48.5,72.75,67.25,70.5,62.25,68.875,73.875,55.875
98.75,81.0,86.875,120.25,92.125,97.375,74.75,77.25,76.5,85.0
96.75,74.0,95.25,106.5,84.0,91.625,79.0,85.75,87.875,87.25
76.0,51.75,66.25,75.75,70.625,78.625,53.875,59.0,60.875,56.5
66.5,47.5,59.875,80.125,61.75,71.375,56.625,70.75,56.0,54.75
64.25,43.875,61.75,68.0,56.625,59.625,49.875,66.25,49.125,53.75
74.375,54.375,68.75,80.0,70.375,75.625,60.75,72.625,65.125,65.625
81.25,68.875,73.75,90.75,68.5,76.5,66.125,78.75,63.125,66.125
134.625,118.375,105.375,146.5,99.625,111.5,103.625,125.25,109.125,116.375
77.25,54.0,68.375,85.5,68.625,75.875,69.125,79.0,62.5,64.875
89.25,63.625,84.625,96.25,72.875,78.625,62.625,72.75,57.75,75.0
68.25,43.375,58.625,71.875,54.625,61.375,69.875,75.625,73.875,50.875
76.625,57.625,71.75,78.25,62.25,67.25,65.25,76.375,69.625,61.125
82.25,68.25,79.25,86.625,65.125,74.0,71.375,82.875,75.5,68.125
84.625,60.0,80.375,96.125,60.625,31.875,59.75,73.625,56.125,67.75
147.625,109.125,116.125,141.75,128.5,133.25,95.375,141.125,132.75,116.875
98.625,53.0,85.75,98.0,87.25,91.0,45.375,69.75,63.125,83.0
50.625,35.125,49.0,59.75,39.0,41.75,31.375,47.0,36.375,40.0
80.5,58.25,81.25,88.125,79.875,84.75,54.75,65.0,63.625,60.625
65.875,50.625,61.375,71.875,51.375,60.0,36.5,66.375,60.375,56.125
74.375,59.875,73.5,81.375,62.75,67.5,51.625,70.125,62.625,64.5
68.875,48.0,66.625,72.125,69.625,74.875,47.0,59.0,66.0,53.75
77.375,46.5,73.375,79.625,67.75,74.875,61.375,73.25,71.375,58.5
41.625,27.5,42.375,49.375,36.5,37.625,40.375,47.25,45.5,32.0
33.75,19.125,33.125,44.375,27.25,30.625,12.875,28.875,20.0,28.375
51.0,23.75,48.5,55.75,55.5,65.25,40.375,45.625,54.875,38.0
65.75,51.5,63.0,73.0,64.375,70.5,55.75,61.375,59.25,
61.25,63.375,60.5,77.0,70.0,70.25,65.25,63.5,71.375,
89.5,48.25,87.0,101.25,75.875,84.375,70.75,75.625,60.625,71.25
42.5,22.0,40.5,49.0,29.75,38.375,24.375,34.125,23.5,27.125
53.75,47.75,52.5,65.125,67.125,67.5,58.75,65.25,48.0,44.5
50.125,29.875,45.75,54.875,43.25,52.0,33.375,43.75,25.25,37.875
49.625,32.25,47.875,51.75,29.0,42.0,29.25,37.625,23.75,38.375
63.75,47.125,58.5,64.75,51.0,60.5,42.625,53.0,38.625,47.875
61.75,51.125,57.625,67.875,57.0,58.25,50.5,55.0,50.75,50.375
48.375,43.875,48.0,53.625,45.125,47.125,39.75,49.75,40.375,41.5
76.875,60.875,69.875,88.125,60.5,56.125,61.375,67.125,61.375,58.875
59.5,40.375,45.625,65.125,36.625,36.625,40.625,58.0,56.875,45.625
135.875,110.0,111.625,111.625,119.375,130.5,100.0,120.875,112.125,108.125
136.125,93.25,117.375,130.75,118.375,127.5,59.625,134.625,125.875,102.125
52.25,46.0,53.375,67.625,37.75,44.625,51.875,75.125,70.0,49.75
144.0,139.375,146.0,174.0,87.875,106.0,123.75,134.875,114.25,145.5
135.75,95.625,116.125,129.0,94.0,126.0,106.875,127.875,112.625,110.25
91.375,60.5,89.5,98.5,74.125,86.375,84.5,94.75,86.0,72.625
130.5,102.5,116.0,117.375,122.875,130.625,102.75,130.875,122.875,101.0
141.5,97.375,118.5,137.0,138.0,142.625,100.5,146.0,134.25,105.75
77.625,50.5,76.25,82.125,66.875,78.25,53.75,76.75,75.125,59.75
64.75,46.125,63.125,54.5,49.875,57.5,42.875,49.0,59.375,54.625
48.5,35.875,49.625,58.25,44.0,49.0,46.625,56.125,41.625,47.75
65.75,41.125,61.375,73.875,57.5,64.75,48.0,52.625,54.375,52.75
66.25,33.375,64.5,65.0,44.125,60.25,48.375,44.875,57.0,51.125
96.25,57.75,91.0,102.625,85.25,94.875,83.625,82.0,90.625,74.375
54.875,35.25,63.5,68.75,38.375,48.125,35.625,47.75,44.625,46.375
56.875,43.25,53.25,67.125,58.0,57.5,55.5,57.5,59.625,46.5
81.25,60.125,79.75,84.75,68.25,78.25,67.375,79.5,65.75,66.125
58.75,41.75,59.75,63.875,62.125,68.375,55.875,63.0,62.875,51.375
59.5,32.375,61.375,64.5,45.875,52.75,36.375,47.5,35.0,45.0
70.0,40.5,59.375,67.0,68.125,73.25,59.25,71.25,51.75,49.25
56.5,48.25,64.0,69.375,60.75,65.75,55.375,61.625,46.875,49.125
72.875,39.875,70.125,79.875,46.875,42.875,51.875,59.375,58.375,57.875
77.375,68.5,71.875,88.125,65.125,54.375,68.875,75.625,69.375,65.625
80.0,72.125,84.375,93.625,62.125,57.25,74.625,90.5,75.375,70.125
70.625,54.125,69.875,74.0,49.75,55.5,49.125,65.375,53.125,56.25
43.25,13.625,41.75,53.25,28.0,36.5,22.75,37.875,29.375,31.125
53.25,26.5,55.5,61.625,48.75,55.375,41.5,51.0,48.25,44.0
63.25,39.625,55.5,67.5,53.625,64.75,49.0,59.0,56.125,47.5
65.5,37.0,63.125,67.375,46.25,31.75,47.5,58.25,48.5,50.25
22.125,14.75,27.375,34.375,29.0,28.875,22.125,23.875,19.125,16.0
56.375,41.0,46.75,65.0,53.875,55.625,66.5,73.125,70.0,44.125
70.5,51.75,69.75,71.875,58.375,65.125,50.375,70.5,60.625,56.75
52.875,29.375,53.375,59.0,43.25,51.875,37.375,50.625,51.625,36.625
45.5,23.375,39.75,44.5,42.375,49.5,24.875,41.625,42.875,31.125
42.375,21.625,38.0,42.5,29.25,37.25,23.25,30.5,,29.125
26.5,10.875,27.0,30.375,28.5,36.125,11.75,12.875,,20.5
24.875,10.75,25.75,34.375,14.125,11.625,15.625,14.125,11.5,23.0
110.5,89.75,81.625,105.0,95.375,105.75,82.125,104.25,8.125,84.75
102.5,21.375,103.0,107.625,87.125,100.625,78.375,93.5,,85.375
53.5,,42.875,54.25,41.875,49.5,35.0,48.75,41.25,39.125
56.5,32.625,53.5,61.75,46.875,50.125,32.625,20.0,,44.25
33.875,19.0,34.0,38.5,30.75,36.375,17.5,30.625,20.125,27.25
52.875,18.25,46.125,58.625,41.5,50.25,35.625,29.25,30.625,40.625
41.625,12.0,40.0,48.75,28.625,35.25,8.125,21.125,15.125,29.625
68.375,46.25,64.375,71.75,59.25,68.875,47.5,67.875,47.125,52.375
54.5,44.625,56.0,56.625,45.25,50.875,37.625,52.375,31.625,46.25
61.75,30.625,57.375,64.0,45.875,42.5,44.0,60.625,53.25,42.75
73.0,39.125,52.0,81.625,52.625,56.125,33.25,61.5,50.125,49.625
53.75,23.375,48.125,59.875,27.875,36.5,35.375,52.25,46.875,42.0
82.5,45.75,61.875,84.5,42.625,58.75,43.75,77.5,61.5,60.25
34.625,12.125,35.875,44.375,25.625,35.75,25.125,30.625,32.125,21.5
27.375,24.625,19.0,27.0,29.5,29.25,31.0,35.0,31.375,15.875
60.875,49.375,48.375,62.875,53.625,59.375,54.0,63.125,60.75,44.625
42.375,24.0,27.25,45.375,34.25,38.25,30.375,43.125,39.625,22.0
33.75,23.0,33.875,56.0,44.75,47.75,32.0,45.375,45.875,27.625
31.625,18.625,22.125,43.625,32.375,34.5,17.0,33.875,34.75,17.375
56.125,34.0,38.375,54.625,45.75,51.125,25.625,50.875,,34.375
53.625,42.875,35.875,60.875,36.125,57.25,23.875,,43.25,31.0
70.0,50.375,50.125,68.125,,72.75,39.25,,68.5,40.875
78.25,66.625,70.875,83.25,,76.875,40.0,,70.875,58.25
60.375,43.625,36.5,62.75,42.0,60.125,30.5,,55.0,33.375
19.75,21.0,21.5,32.875,26.75,40.25,25.5,16.375,31.25,14.125
,7.5,9.375,13.375,9.375,12.25,7.875,14.0,15.0,5.0
,34.375,24.25,43.375,38.0,43.25,39.25,46.75,48.75,18.0
,24.75,35.875,61.875,53.375,58.875,47.5,64.0,48.0,26.25
,64.75,49.625,73.5,64.875,66.375,55.375,68.125,47.375,44.75
,61.125,66.5,85.125,63.25,65.625,63.75,66.875,42.0,56.625
31.25,7.75,25.875,34.75,34.625,38.375,31.125,38.75,26.875,15.875
51.75,32.875,46.875,30.0,41.75,46.625,30.875,33.25,38.125,30.375
56.375,36.625,46.625,59.625,44.875,47.625,41.625,37.625,36.125,34.25
49.125,20.375,42.875,51.75,26.125,24.625,28.125,36.875,35.0,33.75
41.5,28.375,33.5,41.0,44.375,43.75,17.875,17.875,22.375,24.125
49.875,34.75,44.125,54.5,44.75,48.625,35.375,49.25,40.5,39.25
48.0,40.375,44.75,53.5,43.25,45.25,30.5,44.0,29.875,41.125
36.75,16.25,32.375,35.375,31.875,35.625,24.375,29.5,38.5,23.375
27.5,14.875,25.75,36.875,20.75,21.0,5.375,15.0,6.5,22.25
24.5,25.5,25.5,38.375,32.5,37.875,29.875,41.125,42.125,21.75
31.75,20.625,20.0,18.0,28.25,24.875,21.5,29.25,28.75,16.875
34.25,13.125,32.375,43.0,,,18.5,32.375,27.0,23.375
36.375,20.75,36.375,41.625,,,26.5,43.375,33.625,28.75
54.625,34.5,55.0,43.75,,,22.25,28.25,15.125,45.75
47.25,2.875,42.0,28.625,,,24.5,35.0,24.625,33.375
28.0,,28.125,,,,7.375,20.625,25.5,23.25
29.75,16.75,24.75,,,,17.875,20.5,21.125,20.0
32.875,21.875,27.375,29.125,,,20.375,27.375,46.375,22.375
31.0,16.5,26.625,33.125,10.0,16.125,22.5,18.0,38.5,16.875
40.0,27.75,37.0,44.125,20.75,26.375,12.75,14.375,21.75,28.625
55.75,44.375,55.625,62.0,45.25,51.0,32.75,35.125,38.875,44.25
33.375,33.625,29.375,60.5,36.125,41.625,32.125,42.25,29.875,40.0
,30.625,,57.75,31.5,40.125,36.5,37.0,48.875,35.875
,14.875,,32.875,34.375,42.375,18.125,22.625,24.625,17.875
,27.375,41.875,57.0,27.125,36.0,22.5,37.875,18.25,36.875
31.625,19.625,25.125,42.125,8.625,24.75,18.75,27.125,16.625,25.75
39.375,28.875,34.875,42.875,26.25,35.25,,,,27.125
41.25,28.5,37.0,45.875,31.25,39.75,,,,30.25
40.625,25.0,35.75,47.375,31.625,30.375,,,,30.625
24.125,15.25,20.125,32.0,14.25,11.75,,,,
18.25,8.375,21.5,38.0,14.75,8.125,,,,
3.25,2.75,3.625,7.875,14.125,16.625,,,,
7.125,6.75,5.125,10.625,4.0,5.375,2.0,,,5.75
13.625,5.625,7.75,21.5,1.875,2.0,1.625,,3.75,10.875
33.625,24.5,29.75,30.75,25.0,27.5,11.25,,24.125,27.125
2.375,2.75,2.625,5.375,1.75,1.25,1.0,2.125,5.875,3.5
2.0,3.0,3.875,6.625,1.0,1.0,1.5,2.0,1.875,3.375
8.625,9.5,8.625,5.875,5.625,8.625,9.5,,11.625,10.375
4.625,3.25,4.625,6.875,3.0,3.25,1.5,3.0,3.125,4.625
18.375,14.875,22.75,33.75,17.25,25.375,4.75,15.5,13.125,13.25
42.875,36.125,40.75,49.375,32.75,42.125,23.0,40.5,32.125,39.75
57.125,49.375,53.0,59.875,48.875,53.875,45.375,53.625,45.5,48.125
60.75,44.625,55.125,60.75,52.25,55.125,49.25,54.25,37.25,51.25
70.625,58.625,67.75,71.125,63.5,68.375,57.375,65.875,48.125,58.875
31.75,17.375,25.375,36.875,12.375,30.125,21.375,20.625,,27.25
8.625,4.125,8.5,12.375,13.375,16.375,9.125,12.25,17.0,
15.0,8.0,9.625,22.375,12.875,16.625,8.625,9.375,8.625,2.75
40.0,23.75,25.5,39.375,32.625,40.25,26.0,33.0,31.625,22.625
27.625,27.375,21.125,33.0,36.0,40.875,27.875,39.625,29.375,19.75
24.0,17.25,20.0,29.25,25.5,32.25,10.0,20.25,22.125,17.75
33.875,21.25,23.25,38.5,31.125,33.5,20.75,27.875,18.25,29.5
9.5,8.875,15.125,19.25,18.125,22.375,13.625,7.25,10.375,12.125
50.625,36.5,39.875,48.375,45.375,54.25,33.0,33.125,35.0,34.125
51.0,50.25,43.125,54.625,51.875,56.625,45.25,61.375,61.5,43.625
48.125,49.75,49.375,56.75,58.125,59.75,51.625,61.75,63.0,30.125
49.875,36.625,39.75,47.75,34.375,38.75,22.25,33.625,30.5,35.875
